=== svc_c0_0.st
  00 chr  0/10 hp 42/48 y1=128 | P1 scr= 32 wld= 94 | P2 scr= 90 wld=152 | cam  62/ 62 | P1scr-P2scr= -58 P1wld-P2wld= -58
  01 chr  0/10 hp 42/48 y1=128 | P1 scr= 75 wld=137 | P2 scr= 93 wld=155 | cam  62/ 62 | P1scr-P2scr= -18 P1wld-P2wld= -18
  02 chr  0/10 hp 42/48 y1=128 | P1 scr= 79 wld=141 | P2 scr= 96 wld=158 | cam  62/ 62 | P1scr-P2scr= -17 P1wld-P2wld= -17
  03 chr  0/10 hp 42/48 y1=128 | P1 scr= 76 wld=138 | P2 scr= 96 wld=158 | cam  62/ 62 | P1scr-P2scr= -20 P1wld-P2wld= -20
  04 chr  0/10 hp 40/48 y1=128 | P1 scr= 65 wld=127 | P2 scr= 96 wld=158 | cam  62/ 62 | P1scr-P2scr= -31 P1wld-P2wld= -31
  05 chr  0/10 hp 39/48 y1=128 | P1 scr= 63 wld=125 | P2 scr=102 wld=164 | cam  62/ 62 | P1scr-P2scr= -39 P1wld-P2wld= -39
  06 chr  0/10 hp 39/48 y1=128 | P1 scr= 70 wld=132 | P2 scr=112 wld=174 | cam  62/ 62 | P1scr-P2scr= -42 P1wld-P2wld= -42
  07 chr  0/10 hp 39/48 y1=128 | P1 scr= 70 wld=132 | P2 scr=112 wld=174 | cam  62/ 62 | P1scr-P2scr= -42 P1wld-P2wld= -42
  08 chr  0/10 hp 39/48 y1=128 | P1 scr= 67 wld=129 | P2 scr=112 wld=174 | cam  62/ 62 | P1scr-P2scr= -45 P1wld-P2wld= -45
  09 chr  0/10 hp 39/48 y1=128 | P1 scr= 67 wld=129 | P2 scr=112 wld=174 | cam  62/ 62 | P1scr-P2scr= -45 P1wld-P2wld= -45
  10 chr  0/10 hp 39/48 y1= 88 | P1 scr= 67 wld=129 | P2 scr=112 wld=174 | cam  62/ 62 | P1scr-P2scr= -45 P1wld-P2wld= -45
  11 chr  0/10 hp 39/48 y1=128 | P1 scr= 67 wld=129 | P2 scr=112 wld=174 | cam  62/ 62 | P1scr-P2scr= -45 P1wld-P2wld= -45
  12 chr  0/10 hp 39/48 y1=128 | P1 scr= 58 wld=120 | P2 scr=112 wld=174 | cam  62/ 62 | P1scr-P2scr= -54 P1wld-P2wld= -54
  13 chr  0/10 hp 33/48 y1=128 | P1 scr= 55 wld=117 | P2 scr=112 wld=174 | cam  62/ 62 | P1scr-P2scr= -57 P1wld-P2wld= -57
  14 chr  0/10 hp 33/48 y1= 90 | P1 scr= 35 wld= 97 | P2 scr=112 wld=174 | cam  62/ 62 | P1scr-P2scr= -77 P1wld-P2wld= -77
  15 chr  0/10 hp 33/48 y1= 99 | P1 scr= 28 wld= 67 | P2 scr=127 wld=166 | cam  39/ 39 | P1scr-P2scr= -99 P1wld-P2wld= -99
