tag,frame,bank,hp2,p1x,p2x,anim,chr,style
c0_0,1356,255,48,30,96,127,0,1
c1_0,2725,255,48,30,96,127,1,1
c2_0,4108,255,48,30,96,127,12,1
c3_0,5505,255,48,30,96,127,9,1
c0_1,6874,255,48,30,96,127,6,1
c1_1,8257,255,48,30,96,127,2,1
c2_1,9654,255,48,30,96,127,15,1
c3_1,11065,255,48,30,96,127,10,1
c0_2,12448,255,48,30,96,127,3,1
c1_2,13845,255,48,30,96,127,7,1
c2_2,15256,255,48,30,96,127,11,1
c3_2,16681,255,48,30,96,127,16,1
c0_3,18078,0,48,0,0,127,255,1
c1_3,19489,255,48,30,96,127,8,1
c2_3,20914,255,48,30,96,127,14,1
c3_3,22353,0,48,0,0,127,255,1
c0_4,23764,0,48,0,0,127,255,1
c1_4,25189,255,48,30,96,127,5,1
c2_4,26628,255,48,30,96,127,13,1
c3_4,28081,0,48,0,0,127,255,1
c0_5,29506,0,48,0,0,127,255,1
c1_5,30945,255,48,30,96,127,4,1
c2_5,32398,255,48,30,96,127,17,1
c3_5,33865,0,48,0,0,127,255,1
